,accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,size,isXBRL,isInlineXBRL,primaryDocument,primaryDocDescription
24,0000320193-21-000025,2021-02-03,2021-02-01,2021-02-03T18:38:22.000Z,,4,,,,7291,0,0,xslF345X03/wf-form4_161239548384646.xml,FORM 4
25,0000320193-21-000024,2021-02-03,2021-02-01,2021-02-03T18:37:28.000Z,,4,,,,6907,0,0,xslF345X03/wf-form4_161239542324805.xml,FORM 4
26,0000320193-21-000023,2021-02-03,2021-02-01,2021-02-03T18:36:19.000Z,,4,,,,10875,0,0,xslF345X03/wf-form4_161239535474705.xml,FORM 4
27,0000320193-21-000022,2021-02-03,2021-02-01,2021-02-03T18:34:56.000Z,,4,,,,7395,0,0,xslF345X03/wf-form4_161239528138893.xml,FORM 4
28,0000320193-21-000021,2021-02-03,2021-02-01,2021-02-03T18:33:44.000Z,,4,,,,7287,0,0,xslF345X03/wf-form4_161239515778792.xml,FORM 4
29,0000320193-21-000020,2021-02-03,2021-02-01,2021-02-03T18:31:51.000Z,,4,,,,7294,0,0,xslF345X03/wf-form4_161239509434831.xml,FORM 4
30,0000320193-21-000019,2021-02-03,2021-02-01,2021-02-03T18:30:45.000Z,,4,,,,11172,0,0,xslF345X03/wf-form4_161239502964926.xml,FORM 4
31,0001193125-21-025910,2021-02-02,,2021-02-02T16:31:28.000Z,33,424B2,333-228159,21581872,,405273,0,0,d66851d424b2.htm,424B2
32,0001193125-21-024892,2021-02-02,,2021-02-01T19:19:59.000Z,34,FWP,333-228159,21578306,,66370,0,0,d70069dfwp.htm,FREE WRITING PROSPECTUS
33,0001193125-21-023836,2021-02-01,,2021-02-01T08:30:34.000Z,33,424B2,333-228159,21574778,,388622,0,0,d66851d424b2.htm,424B2
34,0000320193-21-000010,2021-01-28,2020-12-26,2021-01-27T18:03:06.000Z,34,10-Q,001-36743,21561251,,7608244,1,1,aapl-20201226.htm,10-Q
35,0000320193-21-000009,2021-01-27,2021-01-27,2021-01-27T16:30:35.000Z,34,8-K,001-36743,21560158,"2.02,9.01",486776,1,1,aapl-20210127.htm,8-K
36,0000320193-21-000004,2021-01-05,2021-01-04,2021-01-05T18:33:11.000Z,,4,,,,5589,0,0,xslF345X03/wf-form4_160988957683472.xml,FORM 4
37,0000320193-21-000003,2021-01-05,2021-01-04,2021-01-05T18:31:03.000Z,,3,,,,7849,0,0,xslF345X02/wf-form3_160988944878908.xml,FORM 3
38,0001193125-21-001989,2021-01-05,,2021-01-05T16:35:29.000Z,34,DEFA14A,001-36743,21506245,,579799,0,0,d767776ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
39,0001193125-21-001987,2021-01-05,2021-02-23,2021-01-05T16:34:02.000Z,34,DEF 14A,001-36743,21506202,,6711853,0,0,d767770ddef14a.htm,DEFINITIVE PROXY STATEMENT
40,0001193125-21-001982,2021-01-05,2020-12-29,2021-01-05T16:32:16.000Z,34,8-K,001-36743,21506117,5.02,290029,1,1,d29637d8k.htm,8-K
41,0000320193-20-000101,2020-11-17,2020-11-13,2020-11-17T18:30:43.000Z,,4,,,,8689,0,0,xslF345X03/wf-form4_160565582610158.xml,FORM 4
42,0000320193-20-000099,2020-11-05,2020-11-03,2020-11-05T18:30:55.000Z,,4,,,,8957,0,0,xslF345X03/wf-form4_160461904119340.xml,FORM 4
43,0000320193-20-000096,2020-10-30,2020-09-26,2020-10-29T18:06:25.000Z,34,10-K,001-36743,201273977,,12502600,1,1,aapl-20200926.htm,10-K
44,0000320193-20-000094,2020-10-29,2020-10-29,2020-10-29T16:30:32.000Z,34,8-K,001-36743,201273047,"2.02,9.01",516927,1,1,aapl-20201029.htm,8-K
45,0000320193-20-000090,2020-10-19,2020-10-15,2020-10-19T18:32:33.000Z,,4,,,,17528,0,0,xslF345X03/wf-form4_160314673986899.xml,FORM 4
46,0000320193-20-000089,2020-10-19,2020-10-15,2020-10-19T18:30:33.000Z,,4,,,,18095,0,0,xslF345X03/wf-form4_160314661733333.xml,FORM 4
47,0000320193-20-000086,2020-10-13,2020-10-09,2020-10-13T18:30:27.000Z,,4,,,,5172,0,0,xslF345X03/wf-form4_160262821333467.xml,FORM 4
48,0000320193-20-000084,2020-10-05,2020-10-01,2020-10-05T18:33:56.000Z,,4,,,,15068,0,0,xslF345X03/wf-form4_160193720275669.xml,FORM 4
49,0000320193-20-000083,2020-10-05,2020-10-01,2020-10-05T18:32:48.000Z,,4,,,,10945,0,0,xslF345X03/wf-form4_160193715587800.xml,FORM 4
50,0000320193-20-000082,2020-10-05,2020-10-01,2020-10-05T18:30:48.000Z,,4,,,,11339,0,0,xslF345X03/wf-form4_160193701297920.xml,FORM 4
51,0000320193-20-000078,2020-09-29,2020-09-27,2020-09-29T18:36:50.000Z,,4,,,,7878,0,0,xslF345X03/wf-form4_160141899239637.xml,FORM 4
52,0000320193-20-000077,2020-09-29,2020-09-27,2020-09-29T18:35:51.000Z,,4,,,,7887,0,0,xslF345X03/wf-form4_160141893471775.xml,FORM 4
53,0000320193-20-000076,2020-09-29,2020-09-27,2020-09-29T18:35:05.000Z,,4,,,,7880,0,0,xslF345X03/wf-form4_160141889148665.xml,FORM 4
54,0000320193-20-000075,2020-09-29,2020-09-27,2020-09-29T18:34:16.000Z,,4,,,,5635,0,0,xslF345X03/wf-form4_160141884313005.xml,FORM 4
55,0000320193-20-000074,2020-09-29,2020-09-27,2020-09-29T18:33:25.000Z,,4,,,,7919,0,0,xslF345X03/wf-form4_160141879027128.xml,FORM 4
56,0000320193-20-000073,2020-09-29,2020-09-27,2020-09-29T18:30:47.000Z,,4,,,,7917,0,0,xslF345X03/wf-form4_160141863355452.xml,FORM 4
57,0000320193-20-000066,2020-08-25,2020-08-24,2020-08-25T18:45:23.000Z,,4,,,,26381,0,0,xslF345X03/wf-form4_159839550969947.xml,FORM 4
58,0000320193-20-000064,2020-08-24,2020-08-20,2020-08-24T18:31:05.000Z,,4,,,,5315,0,0,xslF345X03/wf-form4_159830825188983.xml,FORM 4
59,0001193125-20-225672,2020-08-20,2020-08-13,2020-08-20T16:30:57.000Z,34,8-K,001-36743,201120370,"8.01,9.01",776989,1,1,d937363d8k.htm,8-K
60,0001193125-20-220410,2020-08-14,,2020-08-14T16:28:24.000Z,33,424B2,333-228159,201105555,,388163,0,0,d23503d424b2.htm,424B2
61,0001193125-20-219289,2020-08-13,,2020-08-13T17:29:59.000Z,34,FWP,333-228159,201100402,,46959,0,0,d82525dfwp.htm,FREE WRITING PROSPECTUS
62,0001193125-20-218350,2020-08-13,,2020-08-13T08:17:24.000Z,33,424B2,333-228159,201097325,,370640,0,0,d23503d424b2.htm,424B2
63,0001193125-20-213158,2020-08-07,2020-08-03,2020-08-07T17:20:23.000Z,34,8-K,001-36743,201085556,"5.03,9.01",303685,1,1,d49399d8k.htm,8-K
64,0000320193-20-000062,2020-07-31,2020-06-27,2020-07-30T19:29:09.000Z,34,10-Q,001-36743,201062122,,11076413,1,1,aapl-20200627.htm,10-Q
65,0000320193-20-000060,2020-07-30,2020-07-30,2020-07-30T18:55:04.000Z,34,8-K,001-36743,201061591,"2.02,9.01",628978,1,1,aapl-20200730.htm,8-K
66,0000320193-20-000056,2020-05-12,2020-05-08,2020-05-12T18:30:32.000Z,,4,,,,5074,0,0,xslF345X03/wf-form4_158932261319105.xml,FORM 4
67,0001193125-20-139112,2020-05-11,2020-05-04,2020-05-11T16:31:15.000Z,34,8-K,001-36743,20865313,"8.01,9.01",771520,1,1,d926511d8k.htm,8-K
68,0001193125-20-133777,2020-05-05,,2020-05-05T16:31:51.000Z,33,424B2,333-228159,20849399,,382353,0,0,d926392d424b2.htm,424B2
69,0001193125-20-132661,2020-05-05,,2020-05-04T19:01:03.000Z,34,FWP,333-228159,20846370,,43469,0,0,d926508dfwp.htm,FREE WRITING PROSPECTUS
70,0001193125-20-131780,2020-05-04,,2020-05-04T08:13:55.000Z,33,424B2,333-228159,20842840,,368263,0,0,d926392d424b2.htm,424B2
71,0000320193-20-000052,2020-05-01,2020-03-28,2020-04-30T18:03:10.000Z,34,10-Q,001-36743,20837377,,10648806,1,1,a10-qq220203282020.htm,10-Q
72,0000320193-20-000054,2020-04-30,2020-04-28,2020-04-30T21:30:05.000Z,,4,,,,6961,0,0,xslF345X03/wf-form4_158829658358801.xml,FORM 4
73,0000320193-20-000050,2020-04-30,2020-04-30,2020-04-30T16:30:41.000Z,34,8-K,001-36743,20836131,"2.02,9.01",593101,1,1,a8-kq220203282020.htm,8-K
74,0000320193-20-000045,2020-04-17,2020-04-15,2020-04-17T18:31:43.000Z,,4,,,,21278,0,0,xslF345X03/wf-form4_158716268511263.xml,FORM 4
75,0000320193-20-000044,2020-04-17,2020-04-15,2020-04-17T18:30:46.000Z,,4,,,,16120,0,0,xslF345X03/wf-form4_158716262832690.xml,FORM 4
76,0000320193-20-000041,2020-04-09,2020-04-07,2020-04-09T18:30:47.000Z,,4,,,,21894,0,0,xslF345X03/wf-form4_158647142758084.xml,FORM 4
77,0000320193-20-000039,2020-04-03,2020-04-01,2020-04-03T18:31:43.000Z,,4,,,,29201,0,0,xslF345X03/wf-form4_158595308536827.xml,FORM 4
78,0000320193-20-000038,2020-04-03,2020-04-01,2020-04-03T18:30:47.000Z,,4,,,,13494,0,0,xslF345X03/wf-form4_158595302992961.xml,FORM 4
79,0000320193-20-000035,2020-02-28,2020-02-26,2020-02-28T18:37:09.000Z,,4,,,,5710,0,0,xslF345X03/wf-form4_158293300685250.xml,FORM 4
80,0000320193-20-000034,2020-02-28,2020-02-26,2020-02-28T18:35:51.000Z,,4,,,,5713,0,0,xslF345X03/wf-form4_158293293482087.xml,FORM 4
81,0000320193-20-000033,2020-02-28,2020-02-26,2020-02-28T18:34:43.000Z,,4,,,,5726,0,0,xslF345X03/wf-form4_158293286599770.xml,FORM 4
82,0000320193-20-000032,2020-02-28,2020-02-26,2020-02-28T18:33:24.000Z,,4,,,,5692,0,0,xslF345X03/wf-form4_158293278709070.xml,FORM 4
83,0000320193-20-000031,2020-02-28,2020-02-26,2020-02-28T18:32:24.000Z,,4,,,,5709,0,0,xslF345X03/wf-form4_158293272634137.xml,FORM 4
84,0000320193-20-000030,2020-02-28,2020-02-26,2020-02-28T18:31:19.000Z,,4,,,,5717,0,0,xslF345X03/wf-form4_158293266204383.xml,FORM 4
85,0001193125-20-050884,2020-02-27,2020-02-26,2020-02-27T06:14:21.000Z,34,8-K,001-36743,20658351,5.07,329670,1,1,d865740d8k.htm,8-K
86,0001193125-20-039203,2020-02-18,2020-02-17,2020-02-18T06:24:57.000Z,34,8-K,001-36743,20623292,"7.01,9.01",310140,1,1,d845033d8k.htm,FORM 8-K
87,0001193125-20-038381,2020-02-14,,2020-02-14T16:31:33.000Z,34,SC 13G/A,005-33632,20620785,,663497,0,0,d852265dsc13ga.htm,SC 13G/A
88,0001104659-20-018528,2020-02-12,,2020-02-12T11:01:08.000Z,34,SC 13G/A,005-33632,20601399,,13749,0,0,tv01779-appleinc.htm,SCHEDULE 13G/A
89,0000834237-20-008795,2020-02-10,,2020-02-10T07:34:15.000Z,34,SC 13G/A,005-33632,20589486,,13742,0,0,us0378331005_020720.txt,
90,0001193125-20-026822,2020-02-06,,2020-02-06T16:31:10.000Z,34,SD,001-36743,20583089,,705230,0,0,d877299dsd.htm,FORM SD
91,0000320193-20-000023,2020-02-04,2020-02-01,2020-02-04T18:36:40.000Z,,4,,,,9839,0,0,xslF345X03/wf-form4_158085938309797.xml,FORM 4
92,0000320193-20-000022,2020-02-04,2020-02-01,2020-02-04T18:35:50.000Z,,4,,,,7033,0,0,xslF345X03/wf-form4_158085933339951.xml,FORM 4
93,0000320193-20-000021,2020-02-04,2020-02-01,2020-02-04T18:34:47.000Z,,4,,,,9110,0,0,xslF345X03/wf-form4_158085927075591.xml,FORM 4
94,0000320193-20-000020,2020-02-04,2020-02-01,2020-02-04T18:33:46.000Z,,4,,,,7021,0,0,xslF345X03/wf-form4_158085920919420.xml,FORM 4
95,0000320193-20-000019,2020-02-04,2020-02-01,2020-02-04T18:32:48.000Z,,4,,,,7030,0,0,xslF345X03/wf-form4_158085915125497.xml,FORM 4
96,0000320193-20-000018,2020-02-04,2020-02-01,2020-02-04T18:32:01.000Z,,4,,,,7036,0,0,xslF345X03/wf-form4_158085910047342.xml,FORM 4
97,0000320193-20-000011,2020-01-29,2020-01-27,2020-01-29T18:30:36.000Z,,4,,,,6557,0,0,xslF345X03/wf-form4_158034061831540.xml,FORM 4
98,0000320193-20-000010,2020-01-29,2019-12-28,2020-01-28T18:02:44.000Z,34,10-Q,001-36743,20555794,,9292589,1,1,a10-qq1202012282019.htm,10-Q
99,0000320193-20-000008,2020-01-28,2020-01-28,2020-01-28T16:30:40.000Z,34,8-K,001-36743,20554729,"2.02,9.01",531866,1,1,a8-kq1202012282019.htm,8-K
100,0001214659-20-000610,2020-01-27,,2020-01-27T14:09:39.000Z,34,PX14A6G,001-36743,20548807,,87525,0,0,j127200px14a6g.htm,
101,0001387131-20-000386,2020-01-22,,2020-01-22T08:59:59.000Z,34,PX14A6G,001-36743,20537776,,45330,0,0,aapl-px14a6g_022620.htm,NOTICE OF EXEMPT SOLICITATION
102,0001193125-20-001452,2020-01-03,,2020-01-03T16:34:03.000Z,34,DEFA14A,001-36743,20506033,,715504,0,0,d799146ddefa14a.htm,DEFINITIVE ADDITIONAL MATERIALS
103,0001193125-20-001450,2020-01-03,2020-02-26,2020-01-03T16:31:07.000Z,34,DEF 14A,001-36743,20505940,,4865788,0,0,d799303ddef14a.htm,DEFINITIVE PROXY STATEMENT
104,0000320193-20-000002,2020-01-02,2019-12-27,2020-01-02T18:31:18.000Z,,4,,,,4956,0,0,xslF345X03/wf-form4_157800786035380.xml,FORM 4
105,0001354457-19-000604,2019-11-15,,2019-11-15T08:22:50.000Z,34,CERT,001-36743,191222519,,202138,0,0,8A_Cert_AAPL.pdf,
106,0001193125-19-292825,2019-11-15,,2019-11-15T06:56:04.000Z,34,8-A12B,001-36743,191222426,,19860,0,0,d827578d8a12b.htm,8-A12B
107,0001193125-19-292676,2019-11-15,2019-11-07,2019-11-15T06:02:24.000Z,34,8-K,001-36743,191222355,"8.01,9.01",645929,1,1,d828969d8k.htm,8-K
108,0000320193-19-000123,2019-11-14,2019-11-13,2019-11-14T18:31:03.000Z,,4,,,,9130,0,0,xslF345X03/wf-form4_157377424820890.xml,FORM 4
109,0001193125-19-288412,2019-11-08,,2019-11-08T16:32:13.000Z,33,424B2,333-228159,191204489,,439585,0,0,d804226d424b2.htm,424B2
110,0000320193-19-000121,2019-11-07,2019-11-05,2019-11-07T18:30:21.000Z,,4,,,,9100,0,0,xslF345X03/wf-form4_157316940649990.xml,FORM 4
111,0001193125-19-287351,2019-11-07,,2019-11-07T16:31:02.000Z,34,FWP,333-228159,191200817,,35641,0,0,d826022dfwp.htm,FREE WRITING PROSPECTUS
112,0001193125-19-286514,2019-11-07,,2019-11-07T06:10:18.000Z,33,424B2,333-228159,191197982,,433105,0,0,d804226d424b2.htm,424B2
113,0001193125-19-280516,2019-10-31,,2019-10-31T16:37:33.000Z,33,S-8 POS,333-165214,191184102,,74125,0,0,d800564ds8pos.htm,S-8 POS
114,0000320193-19-000119,2019-10-31,2019-09-28,2019-10-30T18:12:36.000Z,34,10-K,001-36743,191181423,,12861616,1,1,a10-k20199282019.htm,10-K
115,0000320193-19-000117,2019-10-30,2019-10-30,2019-10-30T16:30:40.000Z,34,8-K,001-36743,191180631,"2.02,9.01",576416,1,1,a8-kq420199282019.htm,8-K
116,0000320193-19-000113,2019-10-17,2019-10-15,2019-10-17T18:32:58.000Z,,4,,,,17602,0,0,xslF345X03/wf-form4_157135154697018.xml,FORM 4
117,0000320193-19-000112,2019-10-17,2019-10-15,2019-10-17T18:31:19.000Z,,4,,,,17292,0,0,xslF345X03/wf-form4_157135144806488.xml,FORM 4
118,0000320193-19-000109,2019-10-09,2019-10-07,2019-10-09T18:32:27.000Z,,4,,,,10747,0,0,xslF345X03/wf-form4_157066032478147.xml,FORM 4
119,0000320193-19-000107,2019-10-03,2019-10-01,2019-10-03T18:33:22.000Z,,4,,,,15104,0,0,xslF345X03/wf-form4_157014197957378.xml,FORM 4
120,0000320193-19-000106,2019-10-03,2019-10-01,2019-10-03T18:31:27.000Z,,4,,,,10566,0,0,xslF345X03/wf-form4_157014186524822.xml,FORM 4
121,0000320193-19-000103,2019-10-01,2019-09-29,2019-10-01T18:34:59.000Z,,4,,,,8034,0,0,xslF345X03/wf-form4_156996927774723.xml,FORM 4
122,0000320193-19-000102,2019-10-01,2019-09-29,2019-10-01T18:33:57.000Z,,4,,,,12298,0,0,xslF345X03/wf-form4_156996921603511.xml,FORM 4
123,0000320193-19-000101,2019-10-01,2019-09-29,2019-10-01T18:32:52.000Z,,4,,,,8036,0,0,xslF345X03/wf-form4_156996915065922.xml,FORM 4
124,0000320193-19-000100,2019-10-01,2019-09-29,2019-10-01T18:31:55.000Z,,4,,,,5671,0,0,xslF345X03/wf-form4_156996908478756.xml,FORM 4
125,0000320193-19-000099,2019-10-01,2019-09-29,2019-10-01T18:30:45.000Z,,4,,,,12312,0,0,xslF345X03/wf-form4_156996902282904.xml,FORM 4
126,0000320193-19-000093,2019-09-13,2019-09-10,2019-09-13T17:15:36.000Z,34,8-K,001-36743,191093220,5.02,295855,1,1,a8-kseptember201991019.htm,8-K
127,0001193125-19-242975,2019-09-11,2019-09-04,2019-09-11T16:21:21.000Z,34,8-K,001-36743,191088535,"8.01,9.01",777725,1,1,d777124d8k.htm,8-K
128,0001193125-19-238922,2019-09-05,,2019-09-05T16:52:17.000Z,33,424B2,333-228159,191077641,,390129,0,0,d751814d424b2.htm,424B2
129,0001193125-19-237993,2019-09-05,,2019-09-04T20:35:03.000Z,34,FWP,333-228159,191075999,,82464,0,0,d777130dfwp.htm,FREE WRITING PROSPECTUS
130,0001193125-19-237090,2019-09-04,,2019-09-04T07:50:30.000Z,33,424B2,333-228159,191073320,,375920,0,0,d751814d424b2.htm,424B2
131,0000320193-19-000090,2019-08-27,2019-08-24,2019-08-27T18:30:31.000Z,,4,,,,17062,0,0,xslF345X03/wf-form4_156694501621463.xml,FORM 4
132,0000320193-19-000088,2019-08-26,2019-08-22,2019-08-26T16:31:31.000Z,,4,,,,9564,0,0,xslF345X03/wf-form4_156685147551694.xml,FORM 4
133,0000320193-19-000086,2019-08-14,2019-08-12,2019-08-14T18:30:39.000Z,,4,,,,9100,0,0,xslF345X03/wf-form4_156582182214854.xml,FORM 4
134,0000320193-19-000082,2019-08-05,2019-08-02,2019-08-05T18:33:25.000Z,,4,,,,4547,0,0,xslF345X03/wf-form4_156504439014885.xml,FORM 4
135,0000320193-19-000081,2019-08-05,2019-08-01,2019-08-05T18:32:34.000Z,,4,,,,8554,0,0,xslF345X03/wf-form4_156504433855286.xml,FORM 4
136,0000320193-19-000080,2019-08-05,2019-08-01,2019-08-05T18:31:27.000Z,,4,,,,4881,0,0,xslF345X03/wf-form4_156504427145036.xml,FORM 4
137,0000320193-19-000076,2019-07-31,2019-06-29,2019-07-31T16:31:53.000Z,34,10-Q,001-36743,19989192,,10526242,1,1,a10-qq320196292019.htm,10-Q
138,0000320193-19-000073,2019-07-30,2019-07-30,2019-07-30T16:30:36.000Z,34,8-K,001-36743,19985848,"2.02,9.01",303265,0,0,a8-kq320196292019.htm,8-K
139,0000320193-19-000070,2019-05-07,2019-05-03,2019-05-07T18:30:52.000Z,,4,,,,9015,0,0,xslF345X03/wf-form4_155726823464315.xml,FORM 4
140,0000320193-19-000069,2019-05-06,2019-05-02,2019-05-06T18:30:58.000Z,,4,,,,12523,0,0,xslF345X03/wf-form4_155718184308434.xml,FORM 4
141,0000320193-19-000066,2019-05-01,2019-03-30,2019-05-01T16:32:00.000Z,34,10-Q,001-36743,19788072,,10459511,1,1,a10-qq220193302019.htm,10-Q
142,0000320193-19-000063,2019-04-30,2019-04-30,2019-04-30T16:30:16.000Z,34,8-K,001-36743,19782221,"2.02,9.01",289828,0,0,a8-kq220193302019.htm,8-K
143,0000320193-19-000060,2019-04-17,2019-04-15,2019-04-17T18:34:15.000Z,,4,,,,15592,0,0,xslF345X03/wf-form4_155554044049297.xml,FORM 4
144,0000320193-19-000059,2019-04-17,2019-04-15,2019-04-17T18:33:00.000Z,,4,,,,21750,0,0,xslF345X03/wf-form4_155554036612827.xml,FORM 4
145,0000320193-19-000058,2019-04-17,2019-02-05,2019-04-17T18:31:41.000Z,,3/A,,,,4038,0,0,xslF345X02/wf-form3a_155554028715520.xml,FORM 3/A
146,0000320193-19-000054,2019-04-09,2019-04-05,2019-04-09T18:30:48.000Z,,4,,,,5086,0,0,xslF345X03/wf-form4_155484903395532.xml,FORM 4
147,0000320193-19-000052,2019-04-03,2019-04-01,2019-04-03T18:31:49.000Z,,4,,,,17732,0,0,xslF345X03/wf-form4_155433069460529.xml,FORM 4
148,0000320193-19-000051,2019-04-03,2019-04-01,2019-04-03T18:30:46.000Z,,4,,,,17736,0,0,xslF345X03/wf-form4_155433063141322.xml,FORM 4
149,0001354457-19-000130,2019-03-14,,2019-03-14T16:46:44.000Z,34,CERT,001-36743,19681650,,154099,0,0,AAPL_Cert.pdf,
150,0001193125-19-074874,2019-03-14,,2019-03-14T16:39:32.000Z,34,25,001-36743,19681578,,13359,0,0,d719398d25.htm,25
151,0001193125-19-074868,2019-03-14,,2019-03-14T16:37:02.000Z,34,8-A12B,001-36743,19681549,,22061,0,0,d720211d8a12b.htm,8-A12B
152,0000320193-19-000046,2019-03-05,2019-03-01,2019-03-05T18:36:08.000Z,,4,,,,9867,0,0,xslF345X03/wf-form4_155182895326790.xml,FORM 4
153,0000320193-19-000045,2019-03-05,2019-03-01,2019-03-05T18:35:06.000Z,,4,,,,9875,0,0,xslF345X03/wf-form4_155182889283168.xml,FORM 4
154,0000320193-19-000044,2019-03-05,2019-03-01,2019-03-05T18:34:05.000Z,,4,,,,9907,0,0,xslF345X03/wf-form4_155182883124053.xml,FORM 4
155,0000320193-19-000043,2019-03-05,2019-03-01,2019-03-05T18:32:54.000Z,,4,,,,9854,0,0,xslF345X03/wf-form4_155182876082716.xml,FORM 4
156,0000320193-19-000042,2019-03-05,2019-03-01,2019-03-05T18:31:46.000Z,,4,,,,10115,0,0,xslF345X03/wf-form4_155182869211407.xml,FORM 4
157,0000320193-19-000041,2019-03-05,2019-03-01,2019-03-05T18:30:32.000Z,,4,,,,9872,0,0,xslF345X03/wf-form4_155182861814144.xml,FORM 4
158,0000320193-19-000040,2019-03-05,2019-03-01,2019-03-05T18:29:19.000Z,,4,,,,9872,0,0,xslF345X03/wf-form4_155182854534604.xml,FORM 4
159,0000320193-19-000032,2019-03-04,2019-03-01,2019-03-04T16:32:18.000Z,34,8-K,001-36743,19654221,5.07,66912,0,0,copyofreference8-kform8xkq.htm,8-K
160,0001193125-19-041571,2019-02-15,,2019-02-15T06:09:33.000Z,34,SD,001-36743,19609779,,585119,0,0,d694085dsd.htm,FORM SD
161,0001193125-19-041014,2019-02-14,,2019-02-14T16:42:33.000Z,34,SC 13G,005-33632,19607502,,702146,0,0,d667611dsc13g.htm,SC 13G
162,0000932471-19-004418,2019-02-11,,2019-02-11T09:11:45.000Z,34,SC 13G/A,005-33632,19582280,,34152,0,0,appleinc.htm,
163,0000320193-19-000030,2019-02-07,2019-02-05,2019-02-07T18:42:59.000Z,,4,,,,8008,0,0,xslF345X03/wf-form4_154958296589351.xml,FORM 4
